Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Europe & Central Asia,ECS,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,4.2,3.7,3.6,3.1,..
Europe & Central Asia,ECS,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,13.9,12,12,10.1,..
Europe & Central Asia (excluding high income),ECA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Europe & Central Asia (excluding high income),ECA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
European Union,EUU,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
European Union,EUU,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Faroe Islands,FRO,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Faroe Islands,FRO,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Fiji,FJI,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Fiji,FJI,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Finland,FIN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0,0.1,0.1,..,..
Finland,FIN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,0.1,0.2,0.3,..,..
Fragile and conflict affected situations,FCS,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Fragile and conflict affected situations,FCS,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
France,FRA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.2,0.2,0.1,..,..
France,FRA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,0.4,0.6,0.4,..,..
French Polynesia,PYF,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
French Polynesia,PYF,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Gabon,GAB,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Gabon,GAB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
"Gambia, The",GMB,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,37.7,..,..,..,..
"Gambia, The",GMB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,78.2,..,..,..,..
Georgia,GEO,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,27.1,25.2,21,17.3,..
Georgia,GEO,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,66.4,64.6,56.6,49.1,..
Germany,DEU,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.3,..,..,..,..
Germany,DEU,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,0.5,..,..,..,..
Ghana,GHA,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Ghana,GHA,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Gibraltar,GIB,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Gibraltar,GIB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Greece,GRC,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,1.9,1.4,1.2,..,..
Greece,GRC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,5.1,3.6,3.6,..,..
Greenland,GRL,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Greenland,GRL,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Grenada,GRD,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Grenada,GRD,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Guam,GUM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Guam,GUM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Guatemala,GTM,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,19.5,..
Guatemala,GTM,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,47.3,..
Guinea,GIN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Guinea,GIN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Guinea-Bissau,GNB,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,51.7,..,..,..
Guinea-Bissau,GNB,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,91.4,..,..,..
Guyana,GUY,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Guyana,GUY,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Haiti,HTI,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Haiti,HTI,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Heavily indebted poor countries (HIPC),HPC,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Heavily indebted poor countries (HIPC),HPC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
High income,HIC,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,0.9,0.7,1,0.9,..
High income,HIC,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,2.4,1.8,2.1,2,..
Honduras,HND,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,26.1,..
Honduras,HND,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,53.3,..
"Hong Kong SAR, China",HKG,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
"Hong Kong SAR, China",HKG,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Hungary,HUN,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,1.2,1.1,2.4,..,..
Hungary,HUN,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,3.2,2.7,5.1,..,..
IBRD only,IBD,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
IBRD only,IBD,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
Iceland,ISL,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
Iceland,ISL,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
IDA & IBRD total,IBT,Poverty gap at $8.30 a day (2021 PPP) (%),SI.POV.UMIC.GP,..,..,..,..,..
IDA & IBRD total,IBT,Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),SI.POV.UMIC,..,..,..,..,..
